,0
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,23
22,24
23,25
24,26
25,27
26,28
27,29
28,30
29,31
30,32
31,33
32,34
33,35
34,36
35,37
36,38
37,39
38,40
39,41
40,42
41,43
42,44
43,45
44,46
45,47
46,48
47,49
48,50
49,51
50,52
51,53
52,54
53,55
54,56
55,57
56,58
57,59
58,61
59,62
60,63
61,64
62,66
63,67
64,68
65,69
66,70
67,71
68,72
69,73
70,74
71,75
72,76
73,77
74,78
75,79
76,80
77,81
78,82
79,83
80,84
81,85
82,86
83,87
84,88
85,89
86,90
87,91
88,92
89,93
90,94
91,95
92,96
93,97
94,98
95,99
96,100
97,101
98,102
99,103
100,104
101,105
102,106
103,107
104,108
105,109
106,110
107,111
108,112
109,113
110,114
111,115
112,116
113,117
114,118
115,119
116,120
117,121
118,122
119,123
120,124
121,125
122,126
123,127
124,128
125,129
126,130
127,131
128,132
129,133
130,134
131,135
132,136
133,137
134,138
135,139
136,140
137,141
138,142
139,143
140,144
141,145
142,146
143,147
144,148
145,149
146,150
147,151
148,152
149,153
150,154
151,155
152,156
153,157
154,158
155,159
156,160
157,161
158,162
159,163
160,164
161,165
162,167
163,169
164,170
165,171
166,172
167,173
168,174
169,175
170,176
171,177
172,178
173,179
174,181
175,182
176,183
177,184
178,185
179,186
180,187
181,188
182,189
183,190
184,191
185,192
186,193
187,194
188,195
189,196
190,197
191,198
192,199
193,200
194,201
195,202
196,203
197,205
198,206
199,207
200,208
201,209
202,210
203,211
204,212
205,213
206,214
207,215
208,216
209,217
210,218
211,219
212,220
213,221
214,222
215,223
216,225
217,226
218,227
219,228
220,229
221,230
222,231
223,232
224,233
225,234
226,235
227,236
228,237
229,238
230,239
231,240
232,241
233,242
234,243
235,244
236,245
237,246
238,247
239,248
240,249
241,250
242,251
243,252
244,253
245,254
246,255
247,256
248,257
249,258
250,259
251,260
252,262
253,263
254,264
255,265
256,266
257,267
258,268
259,269
260,270
261,271
262,272
263,273
264,274
265,275
266,276
267,277
268,278
269,279
270,280
271,281
272,282
273,283
274,284
275,285
276,286
277,287
278,288
279,289
280,290
281,291
282,292
283,293
284,294
285,295
286,296
287,297
288,298
289,299
290,300
291,301
292,302
293,303
294,304
295,305
296,306
297,307
298,308
299,309
300,310
301,311
302,312
303,313
304,314
305,315
306,317
307,318
308,319
309,320
310,321
311,322
312,323
313,324
314,326
315,327
316,328
317,329
318,330
319,331
320,332
321,333
322,334
323,335
324,336
325,337
326,338
327,339
328,340
329,341
330,342
331,343
332,344
333,345
334,346
335,347
336,348
337,349
338,350
339,351
340,352
341,353
342,355
343,356
344,357
345,358
346,359
347,360
348,361
349,362
350,363
351,364
352,365
353,366
354,367
355,368
356,369
357,370
358,371
359,372
360,373
361,374
362,375
363,376
364,377
365,378
366,379
367,380
368,381
369,382
370,383
371,384
372,385
373,386
374,387
375,388
376,389
377,391
378,392
379,393
380,394
381,395
382,396
383,397
384,398
385,399
386,400
387,401
388,403
389,404
390,405
391,406
392,407
393,409
394,410
395,411
396,412
397,413
398,414
399,415
400,416
401,417
402,418
403,419
404,420
405,421
406,422
407,423
408,424
409,425
410,426
411,427
412,428
413,429
414,430
415,431
416,432
417,433
418,434
419,435
420,436
421,437
422,438
423,439
424,440
425,441
426,442
427,443
428,444
429,445
430,446
431,447
432,448
433,450
434,451
435,452
436,453
437,454
438,455
439,456
440,457
441,458
442,459
443,460
444,461
445,462
446,463
447,464
448,465
449,466
450,467
451,468
452,469
453,470
454,471
455,472
456,473
457,474
458,476
459,477
460,478
461,479
462,480
463,481
464,482
465,483
466,484
467,485
468,486
469,487
470,488
471,489
472,490
473,491
474,492
475,493
476,494
477,495
478,496
479,497
480,498
481,499
482,500
483,501
484,502
485,503
486,504
487,505
488,507
489,508
490,509
491,510
492,511
493,512
494,513
495,514
496,515
497,516
498,518
499,519
500,520
501,521
502,522
503,523
504,524
505,525
506,526
507,528
508,529
509,530
510,531
511,532
512,533
513,534
514,535
515,536
516,537
517,538
518,539
519,540
520,541
521,542
522,543
523,544
524,545
525,546
526,547
527,548
528,549
529,550
530,551
531,552
532,553
533,554
534,555
535,556
536,557
537,558
538,559
539,560
540,561
541,562
542,563
543,564
544,565
545,566
546,567
547,568
548,569
549,570
550,571
551,572
552,573
553,574
554,575
555,576
556,577
557,578
558,579
559,580
560,581
561,582
562,583
563,584
564,585
565,586
566,587
567,588
568,589
569,590
570,591
571,592
572,593
573,594
574,595
575,596
576,597
577,598
578,599
579,600
580,601
581,602
582,603
583,604
584,605
585,606
586,607
587,609
588,610
589,611
590,612
591,613
592,614
593,615
594,616
595,617
596,618
597,619
598,620
599,621
600,622
601,623
602,624
603,625
604,626
605,627
606,628
607,629
608,630
609,631
610,632
611,633
612,634
613,635
614,636
615,637
616,638
617,639
618,640
619,641
620,642
621,643
622,644
623,645
624,646
625,647
626,648
627,649
628,650
629,651
630,652
631,653
632,654
633,655
634,656
635,657
636,658
637,659
638,660
639,661
640,662
641,663
642,664
643,665
644,666
645,667
646,668
647,669
648,670
649,671
650,672
651,673
652,674
653,675
654,676
655,677
656,678
657,679
658,680
659,681
660,682
661,683
662,684
663,685
664,686
665,687
666,688
667,689
668,690
669,691
670,692
671,693
672,694
673,695
674,696
675,697
676,698
677,699
678,700
679,701
680,702
681,703
682,704
683,705
684,706
685,707
686,708
687,709
688,710
689,711
690,712
691,713
692,714
693,715
694,716
695,717
696,718
697,719
698,720
699,721
700,722
701,723
702,724
703,725
704,726
705,727
706,728
707,729
708,730
709,731
710,732
711,733
712,734
713,735
714,736
715,737
716,738
717,739
718,740
719,741
720,742
721,743
722,744
723,745
724,746
725,747
726,748
727,749
728,750
729,751
730,752
731,753
732,754
733,755
734,756
735,757
736,758
737,759
738,760
739,761
740,762
741,763
742,764
743,765
744,766
745,767
746,768
747,769
748,770
749,771
750,772
751,773
752,774
753,775
754,776
755,778
756,781
757,782
758,783
759,784
760,785
761,786
762,787
763,788
764,789
765,790
766,791
767,792
768,793
769,794
770,795
771,796
772,798
773,799
774,800
775,801
776,802
777,803
778,804
779,805
780,806
781,807
782,808
783,809
784,810
785,811
786,812
787,813
788,814
789,815
790,816
791,817
792,818
793,819
794,820
795,822
796,823
797,824
798,825
799,826
800,827
801,829
802,830
803,831
804,832
805,833
806,834
807,835
808,836
809,837
810,838
811,839
812,840
813,841
814,842
815,843
816,844
817,845
818,846
819,847
820,848
821,849
822,850
823,851
824,852
825,853
826,854
827,855
828,856
829,857
830,858
831,859
832,860
833,861
834,862
835,863
836,864
837,865
838,866
839,867
840,868
841,869
842,870
843,871
844,872
845,873
846,874
847,875
848,876
849,877
850,878
851,879
852,880
853,881
854,882
855,883
856,884
857,885
858,886
859,887
860,888
861,889
862,890
863,891
864,892
865,893
866,894
867,895
868,896
869,897
870,898
871,899
872,900
873,901
874,902
875,903
876,904
877,905
878,906
879,907
880,908
881,909
882,910
883,911
884,912
885,913
886,914
887,915
888,916
889,917
890,918
891,919
892,920
893,921
894,922
895,923
896,924
897,925
898,926
899,927
900,928
901,929
902,930
903,931
904,932
905,933
906,934
907,935
908,936
909,937
910,938
911,939
912,940
913,941
914,942
915,943
916,944
917,945
918,946
919,947
920,949
921,950
922,951
923,952
924,953
925,955
926,956
927,957
928,958
929,959
930,960
931,961
932,962
933,963
934,964
935,965
936,966
937,967
938,968
939,969
940,970
941,971
942,972
943,973
944,974
945,975
946,976
947,977
948,978
949,979
950,980
951,981
952,982
953,984
954,985
955,986
956,987
957,988
958,989
959,990
960,991
961,992
962,993
963,994
