,0
0,7
1,15
2,16
3,133
4,161
5,187
6,205
7,222
8,237
9,354
10,377
11,386
12,429
13,521
14,523
15,544
16,699
17,879
18,893
19,1005
20,1108
21,1132
22,1191
23,1217
24,1935
25,2462
26,2612
27,3224
28,3901
29,3963
30,4034
31,4145
32,4303
33,4470
34,7329
35,8637
36,11285
37,12252
38,16066
39,16452
40,17445
41,19973
42,20884
43,22110
44,1
45,10
46,17
47,24
48,25
49,27
50,42
51,87
52,97
53,107
54,112
55,156
56,234
57,267
58,461
59,490
60,646
61,652
62,690
63,744
64,790
65,820
66,835
67,866
68,1113
69,1180
70,1227
71,1354
72,1372
73,1707
74,1863
75,2455
76,4545
77,5568
78,6278
79,160
80,847
81,1171
82,2408
83,11
84,12
85,13
86,18
87,30
88,37
89,47
90,70
91,79
92,119
93,125
94,151
95,176
96,186
97,252
98,299
99,318
100,331
101,357
102,513
103,517
104,538
105,559
106,1158
107,1160
108,1459
109,1719
110,2015
111,2182
112,2544
113,3014
114,6007
115,9543
116,21630
117,45
118,49
119,60
120,66
121,67
122,72
123,105
124,113
125,177
126,207
127,209
128,212
129,228
130,248
131,256
132,284
133,322
134,339
135,414
136,487
137,552
138,580
139,587
140,610
141,617
142,666
143,808
144,821
145,864
146,962
147,1616
148,1679
149,1713
150,2344
151,2381
152,2419
153,3063
154,3083
155,3262
156,3289
157,3323
158,3608
159,3678
160,3910
161,3924
162,4047
163,4208
164,4496
165,4759
166,5248
167,5318
168,5369
169,5458
170,6071
171,6232
172,6456
173,6576
174,6921
175,7330
176,7706
177,7984
178,8613
179,9467
180,10412
181,10981
182,10983
183,11693
184,12377
185,12856
186,14425
187,14455
188,18371
189,4
190,51
191,90
192,144
193,153
194,199
195,272
196,351
197,692
198,748
199,2456
200,3619
201,3840
202,11258
203,16846
204,1226
205,6353
206,19
207,121
208,578
209,682
210,749
211,769
212,771
213,823
214,830
215,1040
216,1524
217,3614
218,3822
219,4035
220,4899
221,7325
222,11107
223,14651
224,18370
225,8743
226,14662
227,28
228,58
229,64
230,69
231,75
232,78
233,92
234,126
235,178
236,190
237,218
238,238
239,349
240,387
241,402
242,404
243,482
244,600
245,709
246,782
247,787
248,809
249,900
250,979
251,1049
252,1078
253,1153
254,1286
255,1316
256,1382
257,1411
258,1618
259,1674
260,1770
261,2145
262,2260
263,2386
264,2424
265,2517
266,2761
267,2783
268,3085
269,3655
270,3751
271,3813
272,3985
273,4267
274,5502
275,5625
276,7650
277,10297
278,12378
279,13607
280,14956
281,15202
282,17038
283,20060
284,3
285,8
286,38
287,39
288,41
289,55
290,76
291,84
292,91
293,94
294,96
295,115
296,143
297,229
298,268
299,278
300,287
301,346
302,358
303,532
304,581
305,605
306,627
307,681
308,737
309,813
310,995
311,1296
312,1450
313,1855
314,3763
315,3823
316,4438
317,7948
318,34
319,44
320,62
321,99
322,147
323,170
324,223
325,241
326,255
327,292
328,316
329,335
330,345
331,347
332,388
333,424
334,441
335,464
336,501
337,607
338,630
339,643
340,661
341,689
342,697
343,728
344,746
345,929
346,952
347,955
348,980
349,988
350,994
351,1006
352,1010
353,1013
354,1046
355,1167
356,1190
357,1256
358,1315
359,1374
360,1387
361,1414
362,1418
363,1511
364,1622
365,1720
366,1725
367,1776
368,1786
369,1794
370,1883
371,2196
372,2199
373,2212
374,2235
375,2244
376,2350
377,2353
378,2437
379,2445
380,2537
381,2593
382,2686
383,3006
384,3082
385,3088
386,3149
387,3357
388,3375
389,3456
390,3597
391,4046
392,4057
393,4083
394,4163
395,4188
396,4189
397,4240
398,4315
399,4483
400,4692
401,4750
402,4839
403,5069
404,5134
405,5173
406,5330
407,5332
408,5337
409,5527
410,5540
411,5691
412,5933
413,6242
414,6805
415,7054
416,7382
417,7609
418,7864
419,8384
420,8545
421,9157
422,9208
423,9652
424,9673
425,9698
426,9713
427,9720
428,9735
429,9739
430,10331
431,10334
432,10528
433,10915
434,11114
435,12499
436,12852
437,12910
438,13808
439,14157
440,15043
441,16280
442,16290
443,16342
444,18187
445,18455
446,19101
447,19221
448,20439
449,21246
450,21715
451,21929
452,31
453,40
454,129
455,137
456,242
457,313
458,448
459,484
460,494
461,504
462,592
463,639
464,842
465,911
466,1155
467,1210
468,1231
469,1294
470,1446
471,1653
472,1668
473,1702
474,1767
475,2056
476,2198
477,2271
478,2290
479,2325
480,2362
481,2442
482,2800
483,2906
484,3247
485,3440
486,3453
487,4106
488,4154
489,4278
490,4298
491,4371
492,4573
493,4579
494,4714
495,4736
496,5038
497,5242
498,5650
499,6038
500,6751
501,7755
502,8294
503,8759
504,9162
505,9712
506,10110
507,10307
508,10840
509,11015
510,11178
511,11950
512,13104
513,15036
514,16842
515,17143
516,20678
517,2
518,81
519,89
520,108
521,215
522,264
523,669
524,739
525,777
526,916
527,1368
528,1495
529,1638
530,2180
531,2371
532,2415
533,2428
534,2587
535,2845
536,3801
537,3846
538,4028
539,4365
540,4924
541,5046
542,7546
543,8447
544,8596
545,8903
546,9164
547,9669
548,9929
549,11032
550,15059
551,15141
552,17420
553,18192
554,19021
555,19058
556,20539
557,9
558,53
559,95
560,526
561,703
562,706
563,713
564,733
565,805
566,1875
567,2740
568,3568
569,5671
570,8088
571,21926
572,21
573,495
574,766
575,4983
576,11611
577,11866
578,174
579,127
580,225
581,518
582,695
583,786
584,1203
585,2993
586,10092
587,36
588,85
589,249
590,298
591,376
592,411
593,430
594,467
595,573
596,754
597,756
598,972
599,1257
600,1290
601,2532
602,2849
603,3718
604,3814
605,5488
606,5719
607,5903
608,6974
609,7002
610,7006
611,7337
612,9107
613,9471
614,9982
615,10326
616,12439
617,13605
618,14411
619,14534
620,14639
621,14640
622,19027
623,20205
624,20321
625,20497
626,21865
627,265
628,457
629,687
630,2477
631,20227
632,150
633,332
634,1602
635,2178
636,2330
637,15618
638,15794
639,102
640,274
641,343
642,479
643,865
644,936
645,1143
646,1177
647,1179
648,1181
649,1186
650,1207
651,1429
652,1479
653,1669
654,1682
655,1828
656,1990
657,2278
658,2558
659,2708
660,3971
661,5095
662,6408
663,6599
664,6639
665,8331
666,10081
667,14124
668,21082
669,3021
670,3086
671,9398
672,1298
673,56
674,101
675,124
676,130
677,146
678,171
679,203
680,211
681,236
682,257
683,261
684,262
685,280
686,293
687,323
688,325
689,329
690,367
691,375
692,440
693,548
694,563
695,638
696,696
697,778
698,878
699,910
700,932
701,963
702,981
703,996
704,1079
705,1081
706,1148
707,1184
708,1236
709,1248
710,1338
711,1370
712,1466
713,1551
714,1583
715,1673
716,1696
717,1698
718,1721
719,1726
720,1784
721,1824
722,1845
723,1914
724,1941
725,1992
726,2047
727,2073
728,2156
729,2242
730,2277
731,2286
732,2314
733,2322
734,2352
735,2391
736,2435
737,2496
738,2567
739,2569
740,2881
741,2884
742,2949
743,3139
744,3144
745,3197
746,3419
747,3432
748,3433
749,3583
750,3724
751,4200
752,4277
753,4450
754,4458
755,4565
756,4687
757,4708
758,4719
759,4905
760,5144
761,5186
762,5346
763,5425
764,5609
765,5976
766,6324
767,6407
768,6533
769,6582
770,6995
771,7071
772,7140
773,7717
774,7884
775,8314
776,8608
777,8632
778,9084
779,9214
780,9315
781,9596
782,9738
783,10509
784,10887
785,11158
786,11167
787,11517
788,11787
789,12098
790,12160
791,12502
792,13592
793,13816
794,14267
795,15119
796,15364
797,18012
798,18074
799,18667
800,19725
801,20068
802,20827
803,21053
804,21086
805,21309
806,1003
807,13540
808,6
809,22
810,43
811,48
812,50
813,80
814,83
815,145
816,157
817,164
818,254
819,277
820,350
821,474
822,554
823,606
824,1212
825,1549
826,1965
827,3574
828,508
829,1114
830,1394
831,1655
832,1762
833,2660
834,4020
835,4133
836,4622
837,5454
838,8721
839,15697
840,20530
841,5
842,59
843,477
844,565
845,2173
846,14106
847,17055
848,3263
849,1140
850,2024
851,191
852,1345
853,1415
854,3472
855,4615
856,5393
857,6979
858,7995
859,271
860,553
861,642
862,3173
863,3925
864,4439
865,4507
866,5455
867,8330
868,8526
869,10215
870,13069
871,13181
872,14445
873,14756
874,20234
875,269
876,747
877,966
878,2393
879,2833
880,26
881,33
882,54
883,68
884,82
885,88
886,106
887,196
888,219
889,243
890,251
891,281
892,307
893,365
894,380
895,409
896,410
897,422
898,531
899,560
900,597
901,789
902,801
903,802
904,804
905,824
906,912
907,939
908,1025
909,1048
910,1151
911,1187
912,1383
913,1478
914,1502
915,1542
916,1543
917,2214
918,2876
919,2957
920,3537
921,3612
922,3994
923,4104
924,5348
925,6346
926,6528
927,7086
928,7699
929,9536
930,9979
931,11041
932,12616
933,14064
934,15759
935,15956
936,19920
937,522
938,3895
939,110
940,221
941,2226
942,3315
943,4289
944,4326
945,5452
946,6652
947,8459
948,8837
949,9440
950,77
951,98
952,116
953,123
954,148
955,175
956,305
957,309
958,647
959,716
960,791
961,1356
962,1623
963,1636
964,1739
965,1745
966,1836
967,1974
968,2210
969,2327
970,2481
971,2705
972,3485
973,3621
974,7036
975,7545
976,7651
977,8682
978,9837
979,13300
980,14128
981,35
982,74
983,111
984,117
985,122
986,169
987,179
988,193
989,224
990,244
991,297
992,372
993,456
994,462
995,586
996,622
997,685
998,827
999,921
1000,923
1001,987
1002,1088
1003,1292
1004,1329
1005,1379
1006,1412
1007,1510
1008,1512
1009,1541
1010,1677
1011,1738
1012,1807
1013,1874
1014,1904
1015,2089
1016,2099
1017,2131
1018,2360
1019,2485
1020,2500
1021,2578
1022,2644
1023,2657
1024,2697
1025,2733
1026,2806
1027,2905
1028,2911
1029,2919
1030,3001
1031,3012
1032,3038
1033,3618
1034,3736
1035,3768
1036,3815
1037,3897
1038,4156
1039,4182
1040,4248
1041,4744
1042,5124
1043,5129
1044,5290
1045,5379
1046,5445
1047,5450
1048,5489
1049,5493
1050,5618
1051,5623
1052,6449
1053,6618
1054,6641
1055,6900
1056,6986
1057,7058
1058,7219
1059,7306
1060,7533
1061,7537
1062,7747
1063,7837
1064,8052
1065,8350
1066,8424
1067,8499
1068,10078
1069,10706
1070,12894
1071,13120
1072,14943
1073,15606
1074,16450
1075,16720
1076,16824
1077,16969
1078,17102
1079,17183
1080,18115
1081,18140
1082,19572
1083,19774
1084,20218
1085,21769
1086,22047
1087,22109
1088,185
1089,342
1090,472
1091,895
1092,965
1093,1563
1094,1783
1095,3056
1096,3565
1097,8451
1098,13268
1099,17547
1100,29
1101,109
1102,258
1103,373
1104,608
1105,899
1106,1039
1107,1130
1108,1004
1109,1076
1110,1301
1111,1748
1112,4382
1113,5517
1114,17096
1115,21751
1116,46
1117,213
1118,403
1119,444
1120,1380
1121,2398
1122,3304
1123,3939
1124,4007
1125,4659
1126,4826
1127,6651
1128,14616
1129,17757
1130,65
1131,360
1132,407
1133,1121
1134,1137
1135,1423
1136,2267
1137,2536
1138,2541
1139,2632
1140,3295
1141,3714
1142,4124
1143,4232
1144,4294
1145,4765
1146,5042
1147,5089
1148,5244
1149,7031
1150,7615
1151,7689
1152,8445
1153,9241
1154,10775
1155,11078
1156,12183
1157,12541
1158,13158
1159,14203
1160,14225
1161,14945
1162,15651
1163,16612
1164,16953
1165,17829
1166,32
1167,52
1168,93
1169,138
1170,182
1171,183
1172,188
1173,208
1174,283
1175,324
1176,341
1177,392
1178,432
1179,447
1180,483
1181,514
1182,520
1183,567
1184,590
1185,603
1186,645
1187,712
1188,715
1189,888
1190,1035
1191,1366
1192,1597
1193,1889
1194,1978
1195,2148
1196,2306
1197,2348
1198,2695
1199,2811
1200,2866
1201,3285
1202,3767
1203,3993
1204,4031
1205,4460
1206,4501
1207,4548
1208,4631
1209,4646
1210,5117
1211,5667
1212,6311
1213,7367
1214,8654
1215,8927
1216,9076
1217,9451
1218,10013
1219,11173
1220,11763
1221,11937
1222,12081
1223,12269
1224,12328
1225,13418
1226,13772
1227,15312
1228,16283
1229,16702
1230,18253
1231,20339
1232,22185
1233,276
1234,1357
1235,2598
1236,5422
1237,10871
1238,14047
1239,131
1240,378
1241,499
1242,601
1243,1070
1244,1110
1245,1219
1246,1685
1247,1780
1248,2125
1249,2510
1250,2779
1251,4058
1252,4808
1253,5418
1254,7044
1255,7244
1256,8653
1257,10062
1258,11480
1259,13180
1260,15547
1261,17432
1262,135
1263,250
1264,395
1265,14
1266,20
1267,132
1268,163
1269,172
1270,216
1271,226
1272,362
1273,446
1274,507
1275,528
1276,529
1277,541
1278,579
1279,717
1280,718
1281,755
1282,761
1283,770
1284,834
1285,858
1286,876
1287,897
1288,1043
1289,1093
1290,1156
1291,1213
1292,1216
1293,1305
1294,1398
1295,1404
1296,1592
1297,1917
1298,2298
1299,3461
1300,3542
1301,3785
1302,3958
1303,4754
1304,4756
1305,5640
1306,5826
1307,5858
1308,5993
1309,6120
1310,6349
1311,6643
1312,7930
1313,7937
1314,8005
1315,9831
1316,9958
1317,10591
1318,12153
1319,12163
1320,12931
1321,14169
1322,16783
1323,17189
1324,17211
1325,19104
1326,21950
1327,165
1328,551
1329,785
1330,947
1331,1020
1332,1061
1333,1307
1334,1467
1335,1571
1336,2177
1337,2427
1338,2464
1339,2616
1340,4313
1341,4779
1342,5300
1343,5472
1344,6787
1345,7606
1346,8462
1347,9714
1348,10085
1349,12825
1350,15347
1351,17791
1352,2123
1353,210
1354,6834
1355,7608
1356,478
1357,491
1358,649
1359,714
1360,735
1361,838
1362,849
1363,851
1364,872
1365,950
1366,1008
1367,1031
1368,1119
1369,1264
1370,1352
1371,1367
1372,1460
1373,1498
1374,1568
1375,1576
1376,1593
1377,1652
1378,1760
1379,1888
1380,2022
1381,2080
1382,2096
1383,2373
1384,2484
1385,2490
1386,3160
1387,3167
1388,3277
1389,3496
1390,3507
1391,3516
1392,3517
1393,3546
1394,3949
1395,3977
1396,4191
1397,4300
1398,4735
1399,4805
1400,4860
1401,4868
1402,5041
1403,5824
1404,6547
1405,6573
1406,6860
1407,7256
1408,7840
1409,8123
1410,9293
1411,10306
1412,10859
1413,11954
1414,12859
1415,12957
1416,13348
1417,13434
1418,13538
1419,13748
1420,22228
1421,120
1422,184
1423,231
1424,259
1425,433
1426,555
1427,584
1428,602
1429,953
1430,1001
1431,1063
1432,1209
1433,1591
1434,1862
1435,2020
1436,2069
1437,2083
1438,2426
1439,2718
1440,2880
1441,3635
1442,4380
1443,14937
1444,230
1445,260
1446,289
1447,317
1448,399
1449,506
1450,539
1451,707
1452,902
1453,983
1454,1274
1455,1490
1456,1871
1457,1886
1458,2122
1459,2264
1460,2367
1461,2501
1462,2540
1463,2674
1464,4139
1465,4292
1466,4523
1467,6223
1468,7866
1469,7867
1470,8260
1471,9774
1472,10379
1473,10380
1474,11181
1475,11482
1476,18322
1477,20035
1478,139
1479,167
1480,232
1481,296
1482,534
1483,557
1484,574
1485,594
1486,1056
1487,1090
1488,1106
1489,1126
1490,1183
1491,1200
1492,1238
1493,1313
1494,1337
1495,1499
1496,1518
1497,1553
1498,1718
1499,1788
1500,2082
1501,2438
1502,2765
1503,2890
1504,3043
1505,3210
1506,3772
1507,3880
1508,3980
1509,4166
1510,4352
1511,4838
1512,4849
1513,5216
1514,9472
1515,9564
1516,9787
1517,10237
1518,11891
1519,12465
1520,15512
1521,18869
1522,3168
1523,8789
1524,302
1525,459
1526,463
1527,711
1528,724
1529,759
1530,863
1531,933
1532,1127
1533,1896
1534,2782
1535,3121
1536,3907
1537,3952
1538,4544
1539,7452
1540,7925
1541,8062
1542,10033
1543,10711
1544,10747
1545,10975
1546,12309
1547,15578
1548,18358
1549,18589
1550,19050
1551,19302
1552,73
1553,282
1554,320
1555,415
1556,734
1557,738
1558,828
1559,837
1560,1280
1561,1561
1562,3944
1563,4284
1564,4559
1565,5977
1566,10515
1567,71
1568,86
1569,128
1570,152
1571,198
1572,206
1573,217
1574,233
1575,275
1576,301
1577,321
1578,340
1579,348
1580,356
1581,369
1582,418
1583,455
1584,489
1585,515
1586,616
1587,655
1588,680
1589,684
1590,765
1591,870
1592,917
1593,1111
1594,1123
1595,1162
1596,1214
1597,1232
1598,1327
1599,1334
1600,1335
1601,1401
1602,1427
1603,1514
1604,1516
1605,1548
1606,1552
1607,1572
1608,1588
1609,1590
1610,1596
1611,1607
1612,1628
1613,1639
1614,1688
1615,1766
1616,1821
1617,1865
1618,1866
1619,1885
1620,1956
1621,2006
1622,2010
1623,2048
1624,2076
1625,2146
1626,2236
1627,2309
1628,2316
1629,2332
1630,2342
1631,2347
1632,2394
1633,2396
1634,2420
1635,2450
1636,2513
1637,2615
1638,2703
1639,2831
1640,3016
1641,3054
1642,3055
1643,3066
1644,3125
1645,3236
1646,3436
1647,3480
1648,3511
1649,3613
1650,3771
1651,4152
1652,4199
1653,4260
1654,4270
1655,4273
1656,4320
1657,4396
1658,4512
1659,4706
1660,4803
1661,5022
1662,5139
1663,5159
1664,5182
1665,5199
1666,5236
1667,5277
1668,5328
1669,5363
1670,5529
1671,5823
1672,6005
1673,6006
1674,6134
1675,6248
1676,6253
1677,6521
1678,6739
1679,6821
1680,6826
1681,6893
1682,6972
1683,7130
1684,7326
1685,7397
1686,7497
1687,7656
1688,7683
1689,7853
1690,7918
1691,8076
1692,8109
1693,8288
1694,8578
1695,8605
1696,8853
1697,9476
1698,9520
1699,9597
1700,9923
1701,10182
1702,10216
1703,10275
1704,10665
1705,10909
1706,10920
1707,11069
1708,11504
1709,11511
1710,11530
1711,11655
1712,12375
1713,12574
1714,13209
1715,13367
1716,13479
1717,13841
1718,13842
1719,13889
1720,14292
1721,14413
1722,14514
1723,14523
1724,14578
1725,15481
1726,15940
1727,15941
1728,17003
1729,17387
1730,18286
1731,18362
1732,18470
1733,19476
1734,19789
1735,19873
1736,20244
1737,22087
1738,57
1739,159
1740,197
1741,201
1742,235
1743,333
1744,452
1745,542
1746,571
1747,633
1748,640
1749,948
1750,1075
1751,1365
1752,1501
1753,1629
1754,1774
1755,1884
1756,1967
1757,2246
1758,2399
1759,2413
1760,2447
1761,2655
1762,2729
1763,2971
1764,3429
1765,3513
1766,3737
1767,3761
1768,4230
1769,4834
1770,4916
1771,5133
1772,5509
1773,5761
1774,5765
1775,6513
1776,7253
1777,7266
1778,7566
1779,8222
1780,8392
1781,8563
1782,9216
1783,9231
1784,9406
1785,9731
1786,9843
1787,10558
1788,10987
1789,12896
1790,13785
1791,13819
1792,13821
1793,14060
1794,15425
1795,15504
1796,16611
1797,21232
1798,21371
1799,21452
1800,22002
1801,166
1802,202
1803,352
1804,498
1805,525
1806,598
1807,930
1808,1058
1809,1152
1810,1343
1811,1376
1812,1448
1813,1581
1814,1625
1815,1663
1816,1750
1817,2956
1818,3156
1819,3534
1820,3555
1821,3760
1822,5611
1823,7703
1824,8982
1825,9089
1826,9725
1827,11434
1828,12400
1829,15965
1830,1242
1831,1522
1832,2974
1833,3962
1834,4886
1835,6112
1836,118
1837,290
1838,393
1839,481
1840,549
1841,620
1842,702
1843,763
1844,783
1845,818
1846,822
1847,861
1848,867
1849,1016
1850,1033
1851,1044
1852,1218
1853,1230
1854,1451
1855,1452
1856,1471
1857,1485
1858,1520
1859,1527
1860,1573
1861,1582
1862,1757
1863,1915
1864,1927
1865,1951
1866,1976
1867,2046
1868,2250
1869,2253
1870,2300
1871,2374
1872,2599
1873,2603
1874,2606
1875,2685
1876,2738
1877,3107
1878,3371
1879,3451
1880,3463
1881,3630
1882,3703
1883,3710
1884,3754
1885,3860
1886,3893
1887,4222
1888,4234
1889,4456
1890,4937
1891,5602
1892,5839
1893,6911
1894,7258
1895,7602
1896,7963
1897,8184
